descriptor_id,descriptor
Plumbing|Sprinkler System - Inadequate,Sprinkler System - Inadequate
Dirty Condition|Syringes,Syringes
Violation of Park Rules|Biking/Rollerblading off Path,Biking/Rollerblading off Path
Illegal Tree Damage|Unauthorized Tree Removal,Unauthorized Tree Removal
Traffic Signal Condition|Base Door,Base Door
Ferry Inquiry|Lost and Found,Lost and Found
Street Sign - Dangling|St Name - Attached to Pole,St Name - Attached to Pole
Animal in a Park|Removing Wildlife,Removing Wildlife
Special Projects Inspection Team (SPIT)|Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal,Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal
Consumer Complaint|Employment Agency,Employment Agency
PAINT/PLASTER|DOOR/FRAME,DOOR/FRAME
Unsanitary Animal Pvt Property|Other Animal,Other Animal
Broken Parking Meter|No Receipt,No Receipt
Dumpster Complaint|Blocking Sidewalk or Street,Blocking Sidewalk or Street
Bench|Damaged/Bent/Loose/Leaning,Damaged/Bent/Loose/Leaning
Food Establishment|Food Contaminated,Food Contaminated
Obstruction|Merchandise,Merchandise
PAINT/PLASTER|RADIATOR,RADIATOR
Consumer Complaint|Laundromat,Laundromat
Bus Stop Shelter Placement|New Bus Stop Shelter Placement,New Bus Stop Shelter Placement
Consumer Complaint|Process Server,Process Server
Traffic Signal Condition|Warning Buzzer,Warning Buzzer
Dirty Condition|Dirt or Gravel,Dirt or Gravel
Missed Collection|Recycling - Metal/Glass/Rigid Plastic,Recycling - Metal/Glass/Rigid Plastic
Street Sign - Damaged|Other/Unknown,Other/Unknown
Street Sign - Dangling|Street Cleaning - ASP,Street Cleaning - ASP
Illegal Posting|Flyer or Handbill,Flyer or Handbill
Obstruction|Sidewalk Display,Sidewalk Display
General Construction/Plumbing|Illegal Conversion Of Commercial Bldg/Space To Other Uses,Illegal Conversion Of Commercial Bldg/Space To Other Uses
Street Sign - Damaged|One Way,One Way
Consumer Complaint|Street Fair Vendor,Street Fair Vendor
Scaffold Safety|Suspended (Hanging) Scaffolds - No Pmt/Lic/Dangerous/Accident,Suspended (Hanging) Scaffolds - No Pmt/Lic/Dangerous/Accident
General Construction/Plumbing|Site Conditions Endangering Workers,Site Conditions Endangering Workers
Street Condition|Plate Condition - Anti-Skid,Plate Condition - Anti-Skid
Street Sweeping Complaint|Street Not Swept,Street Not Swept
Street Light Condition|Fixture/Luminaire Door Open,Fixture/Luminaire Door Open
OUTSIDE BUILDING|ROOFING,ROOFING
Illegal Posting|Sticker or Decal,Sticker or Decal
Mosquitoes|Large Number of Mosquitoes,Large Number of Mosquitoes
Street Light Condition|Fixture/Luminaire Damaged,Fixture/Luminaire Damaged
Unsanitary Animal Pvt Property|Cat,Cat
General Construction/Plumbing|Posted Notice Or Order Removed/Tampered With,Posted Notice Or Order Removed/Tampered With
Traffic Signal Condition|LED Pedestrian Unit,LED Pedestrian Unit
Consumer Complaint|Gas Station Pumps,Gas Station Pumps
Consumer Complaint|Dry Cleaner,Dry Cleaner
Food Establishment|Food Contains Foreign Object,Food Contains Foreign Object
Sanitation Worker or Vehicle Complaint|Inappropriate Behavior,Inappropriate Behavior
Food Poisoning|3 or More,3 or More
SAFETY|WINDOW GUARD BROKEN/MISSING,WINDOW GUARD BROKEN/MISSING
Plumbing|Failure To Retain Water/Improper Drainage- (LL103/89),Failure To Retain Water/Improper Drainage- (LL103/89)
Street Light Condition|Lamppost Base Door/Cover Open,Lamppost Base Door/Cover Open
Consumer Complaint|Home Improvement Contractor,Home Improvement Contractor
Ferry Complaint|Delays,Delays
Street Sign - Damaged|Stop,Stop
Traffic Signal Condition|Veh Signal Visor,Veh Signal Visor
General Construction/Plumbing|Curb Cut/Driveway/Carport - Illegal,Curb Cut/Driveway/Carport - Illegal
Traffic Signal Condition|Blank Out Matrix Sgn,Blank Out Matrix Sgn
Traffic Signal Condition|Junction Box,Junction Box
Obstruction|Donation Collection Bin,Donation Collection Bin
Traffic Signal Condition|Support Bracket,Support Bracket
Highway Condition|Graffiti - Highway,Graffiti - Highway
Sidewalk Condition|Sidewalk Collapsed,Sidewalk Collapsed
Construction Lead Dust|Coming into Apartment,Coming into Apartment
General Construction/Plumbing|Excavation Undermining Adjacent Building,Excavation Undermining Adjacent Building
BEST/Site Safety|Demolition - Unsafe,Demolition - Unsafe
Food Establishment|Food Temperature,Food Temperature
For Hire Vehicle Report|Driver Complaint - Non Passenger,Driver Complaint - Non Passenger
Building/Use|SRO - Illegal Work/No Permit/Change In Occupancy/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use
Consumer Complaint|Used Car Dealer,Used Car Dealer
Street Light Condition|Lamppost Missing,Lamppost Missing
Special Projects Inspection Team (SPIT)|Sign/Awning/Marquee - Illegal/No Permit,Sign/Awning/Marquee - Illegal/No Permit
General Construction/Plumbing|Working Contrary To Stop Work Order,Working Contrary To Stop Work Order
Consumer Complaint|Tax Preparation Services,Tax Preparation Services
Traffic|Truck Route Violation,Truck Route Violation
Special Projects Inspection Team (SPIT)|Privately Owned Public Space/Non-Compliance,Privately Owned Public Space/Non-Compliance
SAFETY|SPRINKLER,SPRINKLER
Traffic Signal Condition|Vehicle Signal,Vehicle Signal
Food Establishment|Letter Grading,Letter Grading
Unsanitary Pigeon Condition|Pigeon Odor,Pigeon Odor
Street Sign - Missing|Stop,Stop
Dead Animal|Raccoon,Raccoon
Litter Basket Complaint|Misuse,Misuse
Standing Water|Puddle in Ground,Puddle in Ground
Missed Collection|Trash and Bulky Trash,Trash and Bulky Trash
Dirty Condition|Debris from Car Accident,Debris from Car Accident
Lot Condition|Construction Debris,Construction Debris
"Air Quality|Air: Dust, Other (Use Comments) (AE5)","Air: Dust, Other (Use Comments) (AE5)"
Green Taxi Complaint|Driver Complaint - Passenger,Driver Complaint - Passenger
Dumpster Complaint|Small uncovered dumpster,Small uncovered dumpster
Sanitation Worker or Vehicle Complaint|Spilled Garbage,Spilled Garbage
Consumer Complaint|E-Cigarette Sales,E-Cigarette Sales
Street Sign - Dangling|Other/Unknown,Other/Unknown
GENERAL|MAILBOX,MAILBOX
Standing Water|Swimming Pool - Unmaintained,Swimming Pool - Unmaintained
Street Light Condition|New Con Ed Service Request,New Con Ed Service Request
Dead Animal|Bird,Bird
Highway Condition|Cave-in,Cave-in
Residential Disposal Complaint|Refrigerator or Freezer Door Attached,Refrigerator or Freezer Door Attached
Harboring Bees/Wasps|Bees/Wasps - Not a beekeper,Bees/Wasps - Not a beekeper
Street Condition|Line/Marking - Faded,Line/Marking - Faded
Food Establishment|Bare Hands in Contact w/ Food,Bare Hands in Contact w/ Food
Residential Disposal Complaint|Storage Area Not Provided,Storage Area Not Provided
Traffic|Chronic Stoplight Violation,Chronic Stoplight Violation
For Hire Vehicle Report|Car Service Company Report,Car Service Company Report
Street Sign - Damaged|Bus Stop,Bus Stop
Bike Rack|Abandoned Bike,Abandoned Bike
Lot Condition|Appliances,Appliances
Dead Animal|Other,Other
Mobile Food Vendor|Equipment,Equipment
Sidewalk Condition|Newspaper Box Complaint,Newspaper Box Complaint
Commercial Disposal Complaint|Waste Disposal,Waste Disposal
Dead Animal|Dog,Dog
Consumer Complaint|Car Rental,Car Rental
Highway Condition|Pothole - Highway,Pothole - Highway
Noise|Noise: Jack Hammering (NC2),Noise: Jack Hammering (NC2)
Street Light Condition|Street Light Lamp Missing,Street Light Lamp Missing
Investigations and Discipline (IAD)|Investigative Inspection,Investigative Inspection
Street Sign - Dangling|Stop,Stop
Street Sign - Damaged|St Name - Attached to Pole,St Name - Attached to Pole
FLOORING/STAIRS|STAIRS,STAIRS
Lifeguard|Absent,Absent
OUTSIDE BUILDING|SKYLIGHT,SKYLIGHT
Highway Condition|Dead Animal,Dead Animal
Consumer Complaint|Storage Warehouse,Storage Warehouse
Consumer Complaint|Scrap Metal Processor,Scrap Metal Processor
Consumer Complaint|Tour Bus,Tour Bus
Taxi Compliment|Driver Compliment,Driver Compliment
Bus Stop Shelter Complaint|Broken Glass,Broken Glass
Mobile Food Vendor|Food Worker Activity,Food Worker Activity
Water Conservation|Illegal Use Of Hose - Private Residence (CCR),Illegal Use Of Hose - Private Residence (CCR)
Consumer Complaint|Department Store or Megastore,Department Store or Megastore
Traffic Signal Condition|Cable,Cable
Street Light Condition|Lamppost Wire Exposed,Lamppost Wire Exposed
LinkNYC|Blocking Sidewalk,Blocking Sidewalk
Noise|Noise: Private Carting Noise (NQ1),Noise: Private Carting Noise (NQ1)
Bus Stop Shelter Complaint|Damaged Other,Damaged Other
Graffiti|Police Report Not Requested,Police Report Not Requested
Sanitation Worker or Vehicle Complaint|Noise,Noise
Hazardous Materials|Chemical Spill/Release (HA1),Chemical Spill/Release (HA1)
Dumpster Complaint|Overflowing dumpster,Overflowing dumpster
Plumbing|Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler
Emergency Response Team (ERT)|Lights From Parking Lot Shining On Building,Lights From Parking Lot Shining On Building
General Construction/Plumbing|Failure to Comply with Vacate Order,Failure to Comply with Vacate Order
OUTSIDE BUILDING|GUTTER/LEADER,GUTTER/LEADER
Street Light Condition|Street Light Cycling,Street Light Cycling
Tattooing|Dirty/Inadequate Eqp/Facility,Dirty/Inadequate Eqp/Facility
Found Property|Clothing/Glasses,Clothing/Glasses
Street Sign - Missing|Yield,Yield
Street Sign - Dangling|St Name - Over Intersection,St Name - Over Intersection
Food Establishment|Food Protection,Food Protection
PLUMBING|SEWER,SEWER
Noise - Helicopter|NYPD,NYPD
Bus Stop Shelter Complaint|Damaged Bench,Damaged Bench
Standing Water|Other - Explain Below,Other - Explain Below
"Noise|Noise, Ice Cream Truck (NR4)","Noise, Ice Cream Truck (NR4)"
Consumer Complaint|Locksmith,Locksmith
Water Quality|unknown odor/taste in drinking water (QA6),unknown odor/taste in drinking water (QA6)
Consumer Complaint|Car Wash,Car Wash
Mobile Food Vendor|Insects / Pests,Insects / Pests
Consumer Complaint|Cell Phone Store,Cell Phone Store
Noise - Helicopter|News Gathering,News Gathering
Sidewalk Condition|Pedestrian Ramp Defective,Pedestrian Ramp Defective
Animal Facility - No Permit|N/A,N/A
Illegal Animal Sold|Other,Other
Food Establishment|Pet/Animal,Pet/Animal
Animal in a Park|Wildlife Sighting,Wildlife Sighting
Sewer|Defective/Missing Curb Piece (SC4),Defective/Missing Curb Piece (SC4)
Water System|Excessive Water In Basement (WEFB),Excessive Water In Basement (WEFB)
Consumer Complaint|Drug Store or Pharmacy,Drug Store or Pharmacy
Outdoor Dining|Street Zone Blocked,Street Zone Blocked
"Water Quality|No Sampling Required, Requested Information (QG2)","No Sampling Required, Requested Information (QG2)"
Sewer|Highway Flooding (SH),Highway Flooding (SH)
Sewer|Culvert Blocked/Needs Cleaning (SE),Culvert Blocked/Needs Cleaning (SE)
Mobile Food Vendor|Food Source/Protection,Food Source/Protection
General Construction/Plumbing|Wall/Retaining Wall - Bulging/Cracked,Wall/Retaining Wall - Bulging/Cracked
Special Projects Inspection Team (SPIT)|Illegal Conversion Of Manufacturing/Industrial Space,Illegal Conversion Of Manufacturing/Industrial Space
Cannabis Retailer|Suspicious Activity,Suspicious Activity
Sidewalk Condition|Cellar Door Defective,Cellar Door Defective
Non-Emergency Police Matter|Ticket Scalping,Ticket Scalping
OUTSIDE BUILDING|PAVEMENT,PAVEMENT
Consumer Complaint|Movie Theater,Movie Theater
Highway Condition|Litter,Litter
"Consumer Complaint|Barber Shop, Beauty Salon, or Nail Salon","Barber Shop, Beauty Salon, or Nail Salon"
Food Establishment|Food Worker Hygiene,Food Worker Hygiene
Noise - House of Worship|Banging/Pounding,Banging/Pounding
Street Sign - Missing|Bus Stop,Bus Stop
Food Establishment|Sewage,Sewage
Industrial Waste|Concrete In Catch Basin (IEA),Concrete In Catch Basin (IEA)
Standing Water|Container - Over 5 Gallons,Container - Over 5 Gallons
Traffic Signal Condition|Warning Signal,Warning Signal
Traffic Signal Condition|Controller Cabinet,Controller Cabinet
Consumer Complaint|Third-Party Food Delivery Service,Third-Party Food Delivery Service
Consumer Complaint|Hardware Store,Hardware Store
Animal in a Park|Domestic Strays,Domestic Strays
"Water Conservation|Wasting Faucets,Sinks,Flushometer,Urinal,Etc. - Private Residence (CWR)","Wasting Faucets,Sinks,Flushometer,Urinal,Etc. - Private Residence (CWR)"
Maintenance or Facility|Broken Glass,Broken Glass
Highway Condition|Highway Fence,Highway Fence
Street Sign - Dangling|One Way,One Way
Bike Rack|Missing,Missing
Street Sign - Damaged|Street Cleaning - ASP,Street Cleaning - ASP
Plumbing|Plumbing-Defective/Leaking/Not Maintained,Plumbing-Defective/Leaking/Not Maintained
Water Quality|Clear Water With Other Particles (Use Comments) (QEZ),Clear Water With Other Particles (Use Comments) (QEZ)
Day Care|Summer Camp,Summer Camp
Street Sign - Missing|Other/Unknown,Other/Unknown
Consumer Complaint|Home Appliance Store,Home Appliance Store
Disorderly Youth|Nuisance/Truant,Nuisance/Truant
Industrial Waste|Waterway-Color (IHD),Waterway-Color (IHD)
Consumer Complaint|Moving Company,Moving Company
Street Sign - Missing|Do Not Enter,Do Not Enter
For Hire Vehicle Report|Driver Report - Passenger,Driver Report - Passenger
Consumer Complaint|Electronics or Appliance Repair,Electronics or Appliance Repair
Mobile Food Vendor|Food Temperature,Food Temperature
Water Quality|Cloudy Or Milky Water (QB1),Cloudy Or Milky Water (QB1)
Standing Water|Building Foundation,Building Foundation
Sidewalk Condition|Sidewalk Grating - Missing,Sidewalk Grating - Missing
Sanitation Worker or Vehicle Complaint|Unsafe Driving,Unsafe Driving
"Hazardous Materials|Oil Spill On Street, Large (HQL)","Oil Spill On Street, Large (HQL)"
SAFETY|OUTLET COVER,OUTLET COVER
Street Light Condition|Lamppost Base Door/Cover Missing,Lamppost Base Door/Cover Missing
DOOR/WINDOW|DOOR TO DUMBWAITER,DOOR TO DUMBWAITER
"Hazardous Materials|Unsafe Chemical, Abandoned (HC2)","Unsafe Chemical, Abandoned (HC2)"
Consumer Complaint|Residential Rental Agency,Residential Rental Agency
Sewer|RAIN GARDEN DEBRIS (GIRGD),RAIN GARDEN DEBRIS (GIRGD)
Street Sign - Missing|Street Cleaning - ASP,Street Cleaning - ASP
Highway Condition|High Grass,High Grass
General Construction/Plumbing|Construction - Change Grade/Watercourse,Construction - Change Grade/Watercourse
"Noise|Noise, Other Animals (NR6)","Noise, Other Animals (NR6)"
Indoor Air Quality|Human Feces,Human Feces
Ferry Complaint|General Complaint,General Complaint
Street Sign - Damaged|Do Not Enter,Do Not Enter
Street Light Condition|Flood Light Lamp Out,Flood Light Lamp Out
Traffic Signal Condition|On Messenger,On Messenger
Traffic Signal Condition|Door Lock,Door Lock
Consumer Complaint|Gas Station Convenience Store,Gas Station Convenience Store
"Water Quality|Cloudy Or Milky, Other (Use Comments) (QBZ)","Cloudy Or Milky, Other (Use Comments) (QBZ)"
Lost Property|Jewelry,Jewelry
Beach/Pool/Sauna Complaint|Beach/Pool Water,Beach/Pool Water
Industrial Waste|Oil Spill Into Basin/Sewer - Small (IABS),Oil Spill Into Basin/Sewer - Small (IABS)
Food Establishment|Permit/License/Certificate,Permit/License/Certificate
Illegal Animal Kept as Pet|Rooster,Rooster
Sewer|RAIN GARDEN PLANTING (GIRGP),RAIN GARDEN PLANTING (GIRGP)
Standing Water|Puddle on Roof,Puddle on Roof
Consumer Complaint|Shipping Company,Shipping Company
Traffic Signal Condition|Street Light Feed,Street Light Feed
Tobacco or Non-Tobacco Sale|Banned Tobacco Flavors Sold,Banned Tobacco Flavors Sold
Consumer Complaint|Travel Agency,Travel Agency
Illegal Animal Kept as Pet|Other,Other
Water Conservation|Rooftank Leak Or Overflow (CKO),Rooftank Leak Or Overflow (CKO)
Street Light Condition|Lamppost Leaning,Lamppost Leaning
Standing Water|Puddle on Sidewalk,Puddle on Sidewalk
Highway Condition|Concrete Barrier,Concrete Barrier
Street Light Condition|Multiple St Lts Dayburning,Multiple St Lts Dayburning
Traffic Signal Condition|Veh Signal Lens,Veh Signal Lens
Disorderly Youth|Playing in Unsuitable Place,Playing in Unsuitable Place
Recycling Basket Complaint|Overflowing,Overflowing
Street Condition|Wear & Tear,Wear & Tear
Beach/Pool/Sauna Complaint|Safety Equipment/Signs,Safety Equipment/Signs
Consumer Complaint|Construction Labor Provider,Construction Labor Provider
Violation of Park Rules|Use of Newly Seeded Lawn,Use of Newly Seeded Lawn
"Water Quality|Taste/Odor, Bitter/Metallic (QA3)","Taste/Odor, Bitter/Metallic (QA3)"
Street Condition|Depression Maintenance,Depression Maintenance
Violation of Park Rules|Removing Flowers/Plants,Removing Flowers/Plants
Industrial Waste|Wastewater Into Catch Basin (IEB),Wastewater Into Catch Basin (IEB)
Bike Rack|Damaged/Bent/Loose/Leaning,Damaged/Bent/Loose/Leaning
Traffic Signal Condition|Push Button,Push Button
Sidewalk Condition|Dumpster - Construction Waste,Dumpster - Construction Waste
Street Sign - Missing|School Crossing,School Crossing
OUTSIDE BUILDING|PORCH/BALCONY,PORCH/BALCONY
"Water Quality|Taste/Odor, Chemical (QA2)","Taste/Odor, Chemical (QA2)"
Consumer Complaint|Pest Control Services,Pest Control Services
Sewer|Catch Basin Grating Missing (SA4),Catch Basin Grating Missing (SA4)
Root/Sewer/Sidewalk Condition|Affecting Sewer or Foundation,Affecting Sewer or Foundation
Food Establishment|Food Preparation Location,Food Preparation Location
Food Establishment|Food Worker Activity,Food Worker Activity
Violation of Park Rules|Unauthorized Posting of Signs,Unauthorized Posting of Signs
Animal in a Park|Animal Waste,Animal Waste
Consumer Complaint|Furniture Store,Furniture Store
Special Projects Inspection Team (SPIT)|Adult Establishment,Adult Establishment
Food Establishment|Toxic Chemical/Material,Toxic Chemical/Material
Standing Water|Container - Under 5 Gallons,Container - Under 5 Gallons
Water Conservation|Water Meter Stolen/Missing - Private Residence (CLR),Water Meter Stolen/Missing - Private Residence (CLR)
Street Light Condition|Street Light Lamp Dim,Street Light Lamp Dim
Food Establishment|Allergy Information,Allergy Information
Water System|installation of hydrant side post (WHFP),installation of hydrant side post (WHFP)
Food Establishment|Water,Water
"Hazardous Materials|Oil Spill On Street, Small (HQS)","Oil Spill On Street, Small (HQS)"
Highway Condition|Guard Rail - Highway,Guard Rail - Highway
Street Sign - Dangling|Yield,Yield
Food Establishment|Toilet Facility,Toilet Facility
"Hazardous Materials|Unsafe Chemical, Storage (HC1)","Unsafe Chemical, Storage (HC1)"
LinkNYC|WiFi/Internet Not Working/Slow,WiFi/Internet Not Working/Slow
Investigations and Discipline (IAD)|Plumbing Work - Unlicensed/Illegal/Improper Work In Progress,Plumbing Work - Unlicensed/Illegal/Improper Work In Progress
Sanitation Worker or Vehicle Complaint|Idling or Blocking Traffic,Idling or Blocking Traffic
Public Toilet|Damaged Other,Damaged Other
Food Establishment|Dishwashing/Utensils,Dishwashing/Utensils
Found Property|Bag/Wallet,Bag/Wallet
Bridge Condition|Graffiti - Bridge,Graffiti - Bridge
Highway Condition|Painted Line/Marking,Painted Line/Marking
Consumer Complaint|Arcade,Arcade
Sidewalk Condition|Metal Protruding - Sign Stump,Metal Protruding - Sign Stump
Lost Property|Sports Equipment,Sports Equipment
Ferry Inquiry|General Inquiry,General Inquiry
OUTSIDE BUILDING|ROOF DOOR/HATCH,ROOF DOOR/HATCH
Plant|Plants- Odor Related Problems (PO1),Plants- Odor Related Problems (PO1)
Street Sign - Damaged|Detour,Detour
Water System|Hyd Valve Box Cover Missing (WV2),Hyd Valve Box Cover Missing (WV2)
Leaning Bar|Damaged/Bent/Loose/Leaning,Damaged/Bent/Loose/Leaning
Bridge Condition|Pothole,Pothole
General Construction/Plumbing|Deck Inspection,Deck Inspection
Consumer Complaint|Micromobility Device Store,Micromobility Device Store
Standing Water|Sewer or Drain,Sewer or Drain
Mold|Loft Building,Loft Building
E-Scooter|Improperly Parked or Abandoned,Improperly Parked or Abandoned
Traffic Signal Condition|Temporary,Temporary
Tattooing|Tattoo Artist Unlicensed,Tattoo Artist Unlicensed
Traffic Signal Condition|Flashing Hazard,Flashing Hazard
Traffic Signal Condition|Ped Flasher,Ped Flasher
"Water Quality|Taste/Odor, Sewer (QA5)","Taste/Odor, Sewer (QA5)"
Street Light Condition|Glassware Missing,Glassware Missing
Street Light Condition|Fixture/Luminaire Out Of Position,Fixture/Luminaire Out Of Position
Cannabis Retailer|Product Concerns,Product Concerns
Food Establishment|Facility Construction,Facility Construction
General Construction/Plumbing|Landmark Bldg - Illegal Work,Landmark Bldg - Illegal Work
Traffic Signal Condition|Turn Signal,Turn Signal
Consumer Complaint|Office Supply or Stationery Store,Office Supply or Stationery Store
Pet Sale|Inadequate Care,Inadequate Care
Cooling Tower|Unsanitary Condition,Unsanitary Condition
"Consumer Complaint|Gift, Novelty, or Souvenir Store","Gift, Novelty, or Souvenir Store"
Traffic Signal Condition|Ver Mesage Sign RTPI,Ver Mesage Sign RTPI
Street Sign - Dangling|Bus Stop,Bus Stop
Traffic Signal Condition|Wireless,Wireless
Food Establishment|Handwashing,Handwashing
Oil or Gas Spill|Emergency Personnel Report,Emergency Personnel Report
Highway Sign - Damaged|Other/Unknown,Other/Unknown
Traffic Signal Condition|Dust Cover,Dust Cover
Traffic Signal Condition|Door,Door
Bus Stop Shelter Complaint|Damaged or Leaking Roof,Damaged or Leaking Roof
"Noise|Noise: Boat(Engine,Music,Etc) (NR10)","Noise: Boat(Engine,Music,Etc) (NR10)"
Animal-Abuse|In Car,In Car
Outdoor Dining|Barrier Condition,Barrier Condition
Violation of Park Rules|Unauthorized Climbing,Unauthorized Climbing
Consumer Complaint|Mobile Food Vendor,Mobile Food Vendor
Beach/Pool/Sauna Complaint|Beach/Pool/Sauna Unpermitted,Beach/Pool/Sauna Unpermitted
Street Sign - Damaged|Construction,Construction
Consumer Complaint|General Vendor,General Vendor
